chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr4	76643179	76913178	0.3285752	76553179	76963178	0.2840523	0.658536585
chr4	108633179	109093178	0.3936688	106393179	109093178	0.3527056	0.170370370
chr4	110473179	110653178	0.3979387	110403179	110653178	0.3564027	0.720000000
chr4	169233179	169463178	0.4403206	169413179	170543178	0.3846993	0.038167939
chr5	212266	902265	0.5210799	92266	902265	0.3280812	0.851851852
chr5	64772266	65442265	0.4864477	64062266	65232265	0.4622606	0.333333333
chr5	77582266	78072265	0.3121244	77352266	78072265	0.3292132	0.680555556
chr5	78802266	79872265	0.4381014	78802266	80692265	0.3099238	0.566137566
chr5	94982266	95052265	0.4088543	94722266	95052265	0.2870568	0.212121212
chr5	137682266	137952265	0.3889163	137602266	137912265	0.4077199	0.657142857
chr5	139772266	140052265	0.6433617	139552266	140052265	0.5168537	0.560000000
chr5	156382266	156602265	0.3344913	155292266	156592265	0.2975908	0.160305344
chr6	26081910	26201909	0.4020388	26051910	26221909	0.5501688	0.705882353
chr6	35991910	37401909	0.4581558	35881910	37321909	0.4170768	0.875000000
chr6	41991910	43621909	0.5736777	41751910	43621909	0.4993454	0.871657754
chr6	52911910	53531909	0.3887861	52851910	53481909	0.3506248	0.838235294
chr6	56901910	57091909	0.3710968	56811910	57041909	0.3491845	0.500000000
chr6	127831910	129211909	0.3278044	127631910	130691909	0.2823939	0.450980392
chr6	139011910	139461909	0.4331752	138721910	139461909	0.3543359	0.608108108
chr6	149861910	150041909	0.5810670	149531910	150041909	0.4001989	0.352941176
chr6	151711910	151981909	0.4470844	151711910	152961909	0.3885757	0.216000000
chr7	2269757	2889756	0.5170547	1879757	2889756	0.4643112	0.613861386
chr7	65859757	66389756	0.4024161	65439757	66389756	0.4145166	0.557894737
chr7	72929757	72999756	0.3604914	72719757	73039756	0.3658521	0.218750000
chr7	98739757	99159756	0.5658178	98739757	99319756	0.4618981	0.724137931
chr7	102069757	102119756	0.3255706	101449757	102239756	0.3432792	0.063291139
chr7	104559757	105929756	0.4608330	104649757	106309756	0.3697486	0.731428571
chr7	142939757	142989756	0.2728248	142939757	143069756	0.3047806	0.384615385
chr8	74652601	74912600	0.4325670	74582601	74912600	0.4048626	0.787878788
chr8	81142601	81452600	0.3817989	81142601	81462600	0.3685501	0.968750000
chr8	133682601	133882600	0.4295793	133682601	134122600	0.4013674	0.454545455
chr9	15301056	15561055	0.4051110	15421056	16281055	0.3409817	0.142857143
chr9	80641056	80921055	0.3006205	79791056	80651055	0.3050757	0.008849558
chr9	95521056	95901055	0.4494259	95431056	95911055	0.3842488	0.791666667
chr9	102581056	103121055	0.4788248	101981056	102871055	0.3473841	0.254385965
chr9	129621056	131851055	0.5296336	129561056	131871055	0.4411823	0.965367965
chr9	138791056	139021055	0.4078436	138591056	139011055	0.3779605	0.511627907
chr10	101380001	102110000	0.4250451	101410001	102290000	0.3688521	0.769230769
chr11	3811279	4121278	0.4202878	3811279	4421278	0.4369449	0.508196721
chr11	33911279	34131278	0.3622841	33841279	34131278	0.3309107	0.758620690
chr11	62351279	62631278	0.6845375	62221279	62601278	0.5457029	0.609756098
chr11	111891279	112041278	0.4624835	111791279	111961278	0.3845844	0.280000000
chr11	123291279	123401278	0.2911785	123181279	123401278	0.3168475	0.500000000
chr12	6417607	7347606	0.6035857	6307607	7347606	0.4931702	0.894230769
chr12	8517607	8667606	0.3019945	8517607	8727606	0.3385143	0.714285714
chr12	56107607	57147606	0.5887428	56107607	57357606	0.4245679	0.832000000
chr12	93827607	94547606	0.4657900	93827607	94857606	0.3905968	0.699029126
chr12	107167607	107497606	0.4570996	107167607	108157606	0.4854276	0.333333333
chr12	125047607	125477606	0.4742016	125047607	125487606	0.4242870	0.977272727
chr12	132377607	132677606	0.3361692	132567607	132907606	0.3503327	0.207547170
chr13	48604637	48884636	0.5548955	48604637	49114636	0.5270059	0.549019608
chr14	35343848	35593847	0.4436871	35263848	35753847	0.4855022	0.510204082
chr14	54903848	55523847	0.4303103	54953848	55593847	0.3841862	0.826086957
chr14	58703848	58903847	0.4097781	57853848	58773847	0.3610681	0.066666667
chr14	89013848	90803847	0.3794376	88843848	90803847	0.3571393	0.913265306
chr15	34253998	34523997	0.5586605	33593998	34643997	0.4028546	0.257142857
chr15	80123998	80223997	0.3826281	80123998	80263997	0.3723413	0.714285714
chr16	2924043	3064042	0.4973503	2924043	3104042	0.4937232	0.777777778
chr16	4314043	5084042	0.6149577	4314043	5094042	0.5325429	0.987179487
chr16	11724043	11844042	0.3681838	11614043	11894042	0.3238705	0.428571429
chr16	24734043	25124042	0.3121839	24734043	25234042	0.3297819	0.780000000
chr16	29794043	31224042	0.6563146	29794043	31234042	0.5813371	0.993055556
chr16	66584043	66794042	0.3639393	66574043	66794042	0.3998384	0.954545455
chr17	4961	664960	0.2957335	4961	694960	0.2969237	0.956521739
chr17	16944961	18224960	0.5340738	16944961	18274960	0.4989778	0.962406015
chr17	39884961	41484960	0.5248845	39884961	41524960	0.4355339	0.975609756
chr17	43124961	43344960	0.5317205	43024961	43304960	0.4159228	0.562500000
chr17	48414961	48594960	0.5037434	48414961	48614960	0.3947034	0.900000000
chr17	55924961	56164960	0.3812963	54904961	56174960	0.3499921	0.188976378
chr17	61624961	61924960	0.5775988	61514961	61914960	0.4658569	0.707317073
chr17	66184961	66554960	0.4803320	65984961	66544960	0.4456344	0.631578947
chr17	72414961	72864960	0.4951699	72414961	72874960	0.4564201	0.978260870
chr19	7578403	7748402	0.4747626	7288403	7708402	0.3796031	0.282608696
chr19	7888403	8618402	0.4851338	7888403	8648402	0.4153463	0.960526316
chr19	15438403	15618402	0.4891203	15228403	15618402	0.5004315	0.461538462
chr19	19488403	20018402	0.4874060	19428403	19978402	0.4046381	0.830508475
chr19	36098403	36608402	0.4243797	36028403	36608402	0.3634260	0.879310345
chr19	41718403	41938402	0.6515868	41698403	41938402	0.6163008	0.916666667
chr19	47098403	47928402	0.5564361	47098403	48258402	0.5018199	0.715517241
chr20	58508351	58638350	0.3173373	58508351	58668350	0.3777531	0.812500000
chr20	61418351	61498350	0.4667386	61338351	61498350	0.4319942	0.500000000
chr21	34593191	35293190	0.4358530	34423191	35293190	0.3550858	0.804597701
chr21	45073191	45773190	0.5269932	45133191	45853190	0.4632342	0.820512821
chr22	17562157	17842156	0.4315843	16152157	18112156	0.1842583	0.142857143
chr22	18892157	19282156	0.4786213	18592157	19282156	0.3631614	0.565217391
chr22	22692157	22772156	0.5289549	22382157	22772156	0.4709284	0.205128205
chr22	26562157	27072156	0.3516246	26132157	26922156	0.3385056	0.382978723
chrX	12800091	12930090	0.4039141	11120091	12930090	0.3341745	0.071823204
chrX	19000091	19990090	0.3588882	18440091	19910090	0.4157186	0.587096774
chrX	23770091	24080090	0.4566232	23770091	24170090	0.4030042	0.775000000
chrX	48750091	49060090	0.7310836	48690091	49100090	0.6689437	0.756097561
chrX	78200091	78630090	0.3465526	78200091	80070090	0.2912185	0.229946524
