chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr11	64351279	66631278	0.5627728	66231279	66631278	0.4071967	0.175438596
chr11	71701279	73721278	0.3880156	71811279	71901278	0.3526542	0.044554455
chr11	71701279	73721278	0.3880156	72381279	73721278	0.3397304	0.663366337
chr11	118091279	119081278	0.4341424	118021279	118311278	0.3141192	0.207547170
chr11	118091279	119081278	0.4341424	118921279	119081278	0.4487243	0.161616162
chr12	8967607	10387606	0.3957975	8967607	9917606	0.3517241	0.669014085
chr12	8967607	10387606	0.3957975	10077607	10287606	0.3424251	0.147887324
chr12	54447607	54817606	0.3600195	54577607	54697606	0.2582040	0.324324324
chr12	54447607	54817606	0.3600195	54777607	54897606	0.4394022	0.088888889
chr12	111837607	113867606	0.4342380	112027607	112207606	0.3532938	0.088669951
chr12	111837607	113867606	0.4342380	112537607	113667606	0.3689702	0.556650246
chr14	22103848	23823847	0.5221339	22103848	22213847	0.4112993	0.063953488
chr14	22103848	23823847	0.5221339	22283848	22773847	0.4850547	0.284883721
chr14	22103848	23823847	0.5221339	22943848	23013847	0.4941122	0.040697674
chr14	22103848	23823847	0.5221339	23063848	23773847	0.4786390	0.412790698
chr14	50063848	51433847	0.3753190	50083848	50293847	0.3939032	0.153284672
chr14	50063848	51433847	0.3753190	50423848	50563847	0.3093556	0.102189781
chr14	50063848	51433847	0.3753190	51133848	53423847	0.3393750	0.089285714
chr14	73353848	74773847	0.3931638	73493848	73713847	0.4234520	0.154929577
chr14	73353848	74773847	0.3931638	74313848	74553847	0.3292091	0.169014085
chr15	63413998	64793997	0.4045162	63413998	63803997	0.4240257	0.282608696
chr15	63413998	64793997	0.4045162	64453998	64993997	0.3731751	0.215189873
chr15	65133998	65503997	0.3247677	65133998	65283997	0.3231243	0.405405405
chr15	65133998	65503997	0.3247677	65403998	65483997	0.2892352	0.216216216
chr15	72523998	73353997	0.4004830	72523998	72673997	0.3664874	0.180722892
chr15	72523998	73353997	0.4004830	72973998	73353997	0.2944887	0.457831325
chr16	1354043	2594042	0.5162664	1344043	1684042	0.5051484	0.264000000
chr16	1354043	2594042	0.5162664	2004043	2734042	0.4817036	0.427536232
chr16	67134043	69794042	0.5609634	66964043	68564042	0.4949124	0.505300353
chr16	67134043	69794042	0.5609634	68874043	69764042	0.4170804	0.334586466
chr17	3494961	4404960	0.4098673	3494961	3574960	0.3035087	0.087912088
chr17	3494961	4404960	0.4098673	3704961	4464960	0.3648176	0.721649485
chr17	6734961	7554960	0.5693665	6654961	7264960	0.4610305	0.588888889
chr17	6734961	7554960	0.5693665	7334961	7534960	0.5418203	0.243902439
chr17	26644961	27424960	0.4759154	26644961	26694960	0.3802350	0.064102564
chr17	26644961	27424960	0.4759154	26874961	27574960	0.4798644	0.591397849
chr17	37344961	38384960	0.4529659	37444961	37854960	0.4129637	0.394230769
chr17	37344961	38384960	0.4529659	38114961	38264960	0.4068211	0.144230769
chr17	42074961	42634960	0.4496533	42074961	42284960	0.5337166	0.375000000
chr17	42074961	42634960	0.4496533	42414961	42634960	0.3044131	0.392857143
chr17	45264961	46184960	0.4145626	45594961	45914960	0.4102184	0.347826087
chr17	45264961	46184960	0.4145626	46014961	46184960	0.3720173	0.184782609
chr17	78074961	79884960	0.5074615	78074961	78194960	0.4495164	0.066298343
chr17	78074961	79884960	0.5074615	78444961	79304960	0.4641409	0.475138122
chr17	78074961	79884960	0.5074615	79484961	80284960	0.5278800	0.180995475
chr19	168403	2848402	0.5411452	488403	698402	0.4999098	0.078358209
chr19	168403	2848402	0.5411452	858403	2788402	0.5417192	0.720149254
chr19	2938403	5788402	0.5157721	3038403	4908402	0.5058195	0.656140351
chr19	2938403	5788402	0.5157721	5618403	6608402	0.4609768	0.046321526
chr19	10038403	11678402	0.5456244	10038403	11078402	0.4907608	0.634146341
chr19	10038403	11678402	0.5456244	11338403	11928402	0.4423438	0.179894180
chr19	16208403	19318402	0.5726365	16208403	17488402	0.5893164	0.411575563
chr19	16208403	19318402	0.5726365	17828403	18458402	0.4999227	0.202572347
chr19	16208403	19318402	0.5726365	18528403	19318402	0.4590599	0.254019293
chr19	32888403	34928402	0.3521009	32858403	33188402	0.3471652	0.144927536
chr19	32888403	34928402	0.3521009	33568403	33798402	0.3192294	0.112745098
chr19	32888403	34928402	0.3521009	34578403	34978402	0.3293681	0.167464115
chr19	38728403	39428402	0.5783569	38718403	39138402	0.4553198	0.577464789
chr19	38728403	39428402	0.5783569	39318403	39408402	0.4616152	0.128571429
chr19	43968403	44958402	0.5174658	43898403	44178402	0.5126639	0.198113208
chr19	43968403	44958402	0.5174658	44328403	44818402	0.5010264	0.494949495
chr19	49588403	51078402	0.5090159	49588403	49848402	0.3206422	0.174496644
chr19	49588403	51078402	0.5090159	50008403	50988402	0.5394942	0.657718121
chr20	31988351	33818350	0.4647575	32028351	32408350	0.5197324	0.207650273
chr20	31988351	33818350	0.4647575	33098351	33688350	0.4898158	0.322404372
chr20	31988351	33818350	0.4647575	33808351	33878350	0.2870974	0.005291005
chr22	36562157	40772156	0.4380471	36592157	36932156	0.3330445	0.080760095
chr22	36562157	40772156	0.4380471	37412157	37682156	0.3969636	0.064133017
chr22	36562157	40772156	0.4380471	37912157	38802156	0.4727782	0.211401425
chr22	36562157	40772156	0.4380471	38962157	39442156	0.4014039	0.114014252
chr22	36562157	40772156	0.4380471	39712157	39972156	0.4257993	0.061757720
chr22	36562157	40772156	0.4380471	40432157	40772156	0.2900462	0.080760095
