chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr7	37719757	38299756	0.2839607	37479757	38219756	0.2906987	0.609756098
chr7	55949757	56139756	0.4280876	55929757	56179756	0.3935243	0.760000000
chr7	65859757	66389756	0.4024161	65539757	66389756	0.4622564	0.623529412
chr7	72929757	72999756	0.3604914	72349757	73039756	0.3572925	0.101449275
chr7	73579757	73709756	0.4365417	73489757	73709756	0.4053181	0.590909091
chr7	100859757	100899756	0.3233025	100819757	100899756	0.3438846	0.500000000
chr7	102069757	102119756	0.3255706	102039757	102109756	0.3051926	0.500000000
chr7	106679757	107229756	0.3107530	107109757	107779756	0.4406559	0.109090909
chr7	127219757	127299756	0.4373117	127069757	127239756	0.3226371	0.086956522
chr7	128499757	128789756	0.3925555	128409757	128789756	0.3092706	0.763157895
chr7	140169757	140629756	0.3980191	139869757	140399756	0.2866480	0.302631579
chr7	142939757	142989756	0.2728248	142979757	143179756	0.3351305	0.041666667
chr8	25032601	25642600	0.3450747	25032601	26372600	0.4147515	0.455223881
chr8	28742601	28922600	0.3865260	28452601	29122600	0.3253349	0.268656716
chr8	74652601	74912600	0.4325670	74582601	75022600	0.4023300	0.590909091
chr8	81142601	81452600	0.3817989	81142601	81462600	0.4160042	0.968750000
chr8	133682601	133882600	0.4295793	133682601	134122600	0.4115811	0.454545455
chr8	141462601	142322600	0.3880611	141462601	142382600	0.4230845	0.934782609
chr8	144892601	145172600	0.5735648	144792601	145162600	0.4681419	0.710526316
chr8	145972601	146062600	0.6290584	145972601	146132600	0.4981521	0.562500000
chr9	95521056	95901055	0.4494259	95851056	96341055	0.3735891	0.060975610
chr9	115091056	115991055	0.3908358	114551056	115781055	0.4040887	0.479166667
chr9	117081056	117271055	0.2754535	117091056	117441055	0.3421053	0.500000000
chr10	31890001	32840000	0.4262511	32210001	33300000	0.4158494	0.446808511
chr10	111750001	114140000	0.3598946	112320001	115520000	0.3125092	0.482758621
chr10	126430001	126640000	0.3783783	126100001	127540000	0.3209642	0.145833333
chr11	2291279	2921278	0.4580428	2191279	2911278	0.4164981	0.849315068
chr11	14381279	14671278	0.4112856	14491279	14921278	0.3967650	0.333333333
chr11	62351279	62631278	0.6845375	62351279	62791278	0.5358646	0.636363636
chr11	129681279	130031278	0.4380891	129681279	130191278	0.3886454	0.686274510
chr12	317607	507606	0.3396832	137607	507606	0.1382257	0.513513514
chr12	4667607	4757606	0.3939282	3867607	4757606	0.3497165	0.101123596
chr12	6417607	7347606	0.6035857	6307607	7347606	0.4793626	0.894230769
chr12	48147607	48227606	0.4795618	48117607	48907606	0.3633814	0.101265823
chr12	66557607	66637606	0.3579579	66417607	66637606	0.3901498	0.363636364
chr12	93827607	94547606	0.4657900	93767607	94857606	0.3232606	0.660550459
chr12	103977607	104367606	0.3641024	103627607	104697606	0.3372699	0.364485981
chr12	107167607	107497606	0.4570996	106527607	108087606	0.4512199	0.211538462
chr13	37384637	37574636	0.3829250	37384637	37684636	0.3097019	0.633333333
chr13	48604637	48884636	0.5548955	48604637	49114636	0.4702072	0.549019608
chr13	52024637	52984636	0.3607543	51904637	53034636	0.3607045	0.849557522
chr13	99674637	99914636	0.3405054	98084637	99914636	0.3541613	0.131147541
chr14	21673848	22013847	0.3949407	21523848	21983847	0.3210509	0.632653061
chr14	35343848	35593847	0.4436871	35343848	35753847	0.4098395	0.609756098
chr14	58703848	58903847	0.4097781	58443848	58773847	0.4106491	0.152173913
chr14	61193848	62043847	0.3739200	61193848	62163847	0.3618886	0.876288660
chr14	71063848	71383847	0.3337251	71013848	71383847	0.2969220	0.864864865
chr15	34253998	34523997	0.5586605	33593998	34403997	0.3309148	0.161290323
chr15	44083998	45323997	0.4207368	44113998	45423997	0.3693624	0.902985075
chr15	63413998	64793997	0.4045162	62673998	64163997	0.3708002	0.353773585
chr15	80123998	80223997	0.3826281	80123998	80263997	0.3418325	0.714285714
chr15	83473998	83743997	0.4651254	83473998	83783997	0.4045920	0.870967742
chr15	100343998	101093997	0.3003188	100013998	100883997	0.3103410	0.500000000
chr16	2924043	3064042	0.4973503	2764043	3084042	0.4084161	0.437500000
chr16	57474043	57734042	0.4736653	57474043	57774042	0.3657323	0.866666667
chr16	70284043	70614042	0.5323415	70284043	70844042	0.4085804	0.589285714
chr16	89324043	90044042	0.5580259	89324043	90094042	0.4210559	0.935064935
chr17	7734961	7914960	0.4904201	7614961	7914960	0.5226395	0.600000000
chr17	18674961	18954960	0.3233140	18584961	18914960	0.3671696	0.648648649
chr17	35724961	35974960	0.3502676	35764961	36114960	0.3599692	0.538461538
chr17	43124961	43344960	0.5317205	43124961	43574960	0.4229269	0.488888889
chr17	47304961	47454960	0.3723287	47304961	47494960	0.3355409	0.789473684
chr17	61624961	61924960	0.5775988	61544961	62054960	0.4567401	0.588235294
chr17	72414961	72864960	0.4951699	72414961	72874960	0.4720587	0.978260870
chr18	8601103	9711102	0.4528922	8601103	9891102	0.4434779	0.860465116
chr18	32551103	32961102	0.4839707	32071103	32961102	0.3841273	0.460674157
chr19	5898403	6768402	0.5288955	5898403	6888402	0.4228966	0.878787879
chr19	7578403	7748402	0.4747626	7158403	7708402	0.4444769	0.220338983
chr19	7888403	8618402	0.4851338	7968403	8748402	0.4096601	0.755813953
chr19	14478403	14808402	0.5000969	14488403	14838402	0.4283082	0.888888889
chr19	15438403	15618402	0.4891203	15308403	15618402	0.5294520	0.580645161
chr19	21318403	21888402	0.4311675	21318403	21958402	0.4572090	0.890625000
chr19	47098403	47928402	0.5564361	47218403	48258402	0.4229623	0.612068966
chr19	55378403	55588402	0.4268598	55358403	55588402	0.3501676	0.913043478
chr19	55918403	56188402	0.5620978	55918403	56198402	0.5492195	0.964285714
chr20	58508351	58638350	0.3173373	57928351	58638350	0.4036185	0.183098592
chr20	60638351	60758350	0.4000618	60288351	60758350	0.3996678	0.255319149
chr20	62128351	62688350	0.5275669	62098351	62718350	0.5124893	0.903225806
chr21	33983191	34153190	0.3006969	33933191	34153190	0.3683182	0.772727273
chr21	46213191	46303190	0.4628881	46023191	46303190	0.3608366	0.321428571
chr22	17562157	17842156	0.4315843	17562157	18262156	0.4145980	0.400000000
chr22	21122157	21362156	0.3901847	21052157	21372156	0.3500141	0.750000000
chr22	22692157	22772156	0.5289549	22452157	22782156	0.5412686	0.242424242
chr22	24022157	24992156	0.5221876	23972157	24992156	0.4363427	0.950980392
chr22	41252157	42322156	0.5050431	41072157	42202156	0.4888693	0.760000000
chr22	42392157	42532156	0.3535826	42392157	42682156	0.3125337	0.482758621
chr22	46432157	47142156	0.4342640	46432157	47162156	0.3382215	0.972602740
chrX	48750091	49060090	0.7310836	48680091	49090090	0.5889188	0.756097561
chrX	53020091	54560090	0.4465007	52920091	54560090	0.3506204	0.939024390
chrX	73830091	74380090	0.4644960	73510091	74500090	0.3525816	0.555555556
chrX	78200091	78630090	0.3465526	77580091	78630090	0.4293868	0.409523810
chrX	106240091	106770090	0.3590399	106240091	108730090	0.3290576	0.212851406
chrX	119600091	119730090	0.3872756	119490091	123100090	0.3244652	0.036011080
chrX	135050091	135340090	0.3101896	135060091	135930090	0.3271921	0.318181818
chrX	149520091	150070090	0.4495135	148620091	149740090	0.3133985	0.151724138
chrX	152950091	153690090	0.5869977	152950091	153750090	0.4543626	0.925000000
chrX	154290091	154430090	0.5566990	154250091	154430090	0.4160728	0.777777778
