gene	chromosome	start	end	strand	log2FC	FDR
AC008122.1	chr2	190749490	190749579	+	NA	NA
MSTN	chr2	190920610	190927455	-	NA	NA
ANO7	chr2	242127924	242164792	+	1.310544940	0.5499055394295588872211
HDLBP	chr2	242166679	242256476	-	0.100637050	1.0000000000000000000000
AC104841.1	chr2	242184617	242184714	-	0.214656773	1.0000000000000000000000
SEPT2	chr2	242254515	242293442	+	0.008895624	1.0000000000000000000000
FARP2	chr2	242295658	242434256	+	-0.569880169	0.1785205251502048617862
MIR3133	chr2	242417320	242417397	+	NA	NA
STK25	chr2	242432089	242449145	-	-0.233412034	1.0000000000000000000000
BOK	chr2	242498136	242513546	+	-0.446808369	1.0000000000000000000000
NEU4	chr2	242749920	242758739	+	-0.046706319	1.0000000000000000000000
PDCD1	chr2	242792033	242801060	-	-0.146197435	1.0000000000000000000000
CXXC11	chr2	242811752	242815975	+	-0.134462242	1.0000000000000000000000
AC022382.1	chr3	9862220	9870693	-	NA	NA
EMC3	chr3	10004221	10052800	-	0.264301594	1.0000000000000000000000
FANCD2	chr3	10068098	10143614	+	0.028229000	1.0000000000000000000000
FANCD2OS	chr3	10123001	10149915	-	0.615213910	1.0000000000000000000000
BRK1	chr3	10157276	10168874	+	0.328758985	1.0000000000000000000000
AC034193.1	chr3	10171292	10177304	+	NA	NA
TMEM89	chr3	48658192	48659288	-	0.740521750	1.0000000000000000000000
SLC26A6	chr3	48663156	48672926	-	0.597505643	0.2208669365737377654479
MIR4793	chr3	48681627	48681713	-	NA	NA
UBA7	chr3	49842640	49851379	-	0.451047915	0.9082838456685400352342
AC139451.1	chr3	49856387	49856486	-	NA	NA
TRAIP	chr3	49866034	49894007	-	0.195946077	1.0000000000000000000000
CAMKV	chr3	49895421	49907655	-	NA	NA
CACNA2D2	chr3	50400233	50541675	-	-0.856124555	0.0971969127780654001958
RNA5SP131	chr3	50457212	50457330	+	NA	NA
C3orf18	chr3	50595462	50608458	-	0.078205534	1.0000000000000000000000
HEMK1	chr3	50606583	50622366	+	-0.130953968	1.0000000000000000000000
SEMA3G	chr3	52467069	52479101	-	0.403783251	1.0000000000000000000000
TNNC1	chr3	52485118	52488086	-	0.086250332	1.0000000000000000000000
NISCH	chr3	52489134	52527087	+	-0.037016882	1.0000000000000000000000
STAB1	chr3	52529354	52558511	+	0.850298993	0.1753447532530202079837
NT5DC2	chr3	52558386	52569070	-	0.470666914	1.0000000000000000000000
SMIM4	chr3	52568029	52613253	+	0.394800540	1.0000000000000000000000
PBRM1	chr3	52579368	52719933	-	-0.002395540	1.0000000000000000000000
GNL3	chr3	52715172	52728508	+	0.362987353	1.0000000000000000000000
SNORD19B	chr3	52722898	52724843	+	NA	NA
SNORD19	chr3	52723264	52725469	+	-0.235281011	1.0000000000000000000000
SNORD69	chr3	52726752	52726828	+	-0.175333900	1.0000000000000000000000
GLT8D1	chr3	52728505	52740048	-	-0.129629424	1.0000000000000000000000
SPCS1	chr3	52738971	52742182	+	0.039292273	1.0000000000000000000000
NEK4	chr3	52744800	52804965	-	0.022053476	1.0000000000000000000000
AC096887.1	chr3	53087014	53087110	+	NA	NA
RP11-460I19.2	chr4	1021466	1022760	+	NA	NA
RNF212	chr4	1050038	1107350	-	-0.228508633	1.0000000000000000000000
SPON2	chr4	1160720	1202750	-	-0.455386094	1.0000000000000000000000
AC092535.1	chr4	1189609	1195204	-	-0.283523806	1.0000000000000000000000
FGFR3	chr4	1795034	1810599	+	NA	NA
LETM1	chr4	1813206	1857974	-	-0.191899149	1.0000000000000000000000
WHSC1	chr4	1873151	1983934	+	-0.212425256	1.0000000000000000000000
WHSC2	chr4	1984441	2043630	-	-0.200737157	1.0000000000000000000000
C4orf48	chr4	2043689	2045697	+	0.780184973	0.5070929823992590401716
NAT8L	chr4	2061239	2070816	+	-1.102170949	1.0000000000000000000000
IL7R	chr5	35852797	35879705	+	-0.789757923	0.3688236390425653765668
UGT3A1	chr5	35951112	36001130	-	NA	NA
UGT3A2	chr5	36035119	36071460	-	NA	NA
YTHDC2	chr5	112849380	112930982	+	-0.209880291	1.0000000000000000000000
KCNN2	chr5	113696666	113832321	+	NA	NA
TRIM36	chr5	114460459	114516243	-	-0.201237313	1.0000000000000000000000
C6orf222	chr6	36283534	36304662	-	0.936947829	0.6506033871016169145562
ETV7	chr6	36322419	36356164	-	3.171769166	0.0000000006054768962663
PXT1	chr6	36358328	36410666	-	1.578167631	0.1099939152703888201046
KCTD20	chr6	36410544	36458920	+	0.155754750	1.0000000000000000000000
TBCC	chr6	42712219	42714558	-	0.253302516	1.0000000000000000000000
KIAA0240	chr6	42714696	42836296	+	-0.150129216	1.0000000000000000000000
RPL7L1	chr6	42847356	42857663	+	0.026259135	1.0000000000000000000000
C6orf226	chr6	42858005	42858554	-	0.060704415	1.0000000000000000000000
SLC35A1	chr6	88180341	88222054	+	0.669102352	1.0000000000000000000000
RARS2	chr6	88224096	88299721	-	0.226796952	1.0000000000000000000000
ORC3	chr6	88299839	88377169	+	0.136673871	1.0000000000000000000000
AKIRIN2	chr6	88384790	88411927	-	0.600134623	0.5476581558892924528337
CNR1	chr6	88849583	88876078	-	0.623617477	1.0000000000000000000000
RP11-459O1.2	chr6	89008669	89130752	-	1.407422157	0.6023345646467319625117
RNGTT	chr6	89319985	89673348	-	0.025420960	1.0000000000000000000000
AL079342.1	chr6	89674246	89676685	+	NA	NA
CYP2W1	chr7	1022835	1029276	+	0.174535216	1.0000000000000000000000
C7orf50	chr7	1036623	1177896	-	0.235742341	1.0000000000000000000000
MIR339	chr7	1062569	1062662	-	-0.213730950	1.0000000000000000000000
GPR146	chr7	1084212	1098897	+	-0.088516327	1.0000000000000000000000
GPER	chr7	1121844	1133451	+	2.284744920	0.0014975510743001452067
ZFAND2A	chr7	1191707	1200395	-	0.316758735	1.0000000000000000000000
UNCX	chr7	1272543	1276954	+	NA	NA
RNF216	chr7	5659678	5821370	-	-0.068836011	1.0000000000000000000000
OCM	chr7	5919458	5925993	+	-0.157315322	1.0000000000000000000000
CCZ1	chr7	5938356	5965605	+	0.299674099	1.0000000000000000000000
RSPH10B	chr7	5965177	6010314	-	1.127916932	1.0000000000000000000000
PMS2	chr7	6012870	6048756	-	-0.363472106	1.0000000000000000000000
AIMP2	chr7	6048876	6063465	+	-0.109219163	1.0000000000000000000000
EIF2AK1	chr7	6061881	6098861	-	-0.010013533	1.0000000000000000000000
ANKRD61	chr7	6071007	6076017	+	0.051233368	1.0000000000000000000000
AC004895.4	chr7	6120734	6132716	+	NA	NA
AC004895.1	chr7	6122736	6122805	+	NA	NA
UPK3B	chr7	76139745	76648340	+	0.626398724	1.0000000000000000000000
POMZP3	chr7	76239303	76256578	-	0.046928683	1.0000000000000000000000
AC005522.7	chr7	76601996	76606278	-	NA	NA
TMEM60	chr7	77423045	77427897	-	0.642280606	0.0900819037541734923824
PHTF2	chr7	77428122	77586818	+	-0.252758729	1.0000000000000000000000
MAGI2	chr7	77646393	79082890	-	0.057989190	1.0000000000000000000000
GNAI1	chr7	79763271	79848718	+	1.121036569	0.2143367190481896000787
CD36	chr7	79998891	80308593	+	0.527881874	1.0000000000000000000000
PVRIG	chr7	99815864	99819113	+	0.545077163	1.0000000000000000000000
AC005071.1	chr7	99817650	99817743	-	NA	NA
SPDYE3	chr7	99905325	99919819	+	-0.267954863	1.0000000000000000000000
PILRB	chr7	99933702	99965454	+	-0.132491237	1.0000000000000000000000
TRBV5-7	chr7	142111393	142111859	-	NA	NA
TRBV7-7	chr7	142119820	142120321	-	-0.663008287	1.0000000000000000000000
TRBV6-8	chr7	142124137	142124565	-	NA	NA
TRBV5-6	chr7	142131412	142131918	-	0.005662957	1.0000000000000000000000
TRBV7-6	chr7	142139278	142139815	-	-0.567435415	1.0000000000000000000000
TRBV6-7	chr7	142143652	142144084	-	NA	NA
TRBV5-5	chr7	142148928	142149399	-	NA	NA
TRBV6-6	chr7	142161931	142162407	-	-0.605729370	0.5578883394374796189652
TRBV5-4	chr7	142168380	142169045	-	-0.465670197	1.0000000000000000000000
TRBV7-4	chr7	142176329	142176790	-	0.051394936	1.0000000000000000000000
RP11-545G3.1	chr7	149737610	149773744	+	NA	NA
GIMAP1	chr7	150413645	150421372	+	-0.028669982	1.0000000000000000000000
GIMAP5	chr7	150419341	150447121	+	-0.108630546	1.0000000000000000000000
TMEM176B	chr7	150488373	150498450	-	-0.274594409	1.0000000000000000000000
TMEM176A	chr7	150497491	150502208	+	-0.148085872	1.0000000000000000000000
ABP1	chr7	150521715	150558592	+	1.165972384	1.0000000000000000000000
KCNH2	chr7	150642049	150675403	-	-0.105301620	1.0000000000000000000000
CRYGN	chr7	151125921	151137899	-	0.251038514	1.0000000000000000000000
MIR3907	chr7	151130575	151130725	-	NA	NA
RHEB	chr7	151163098	151217206	-	0.314275912	1.0000000000000000000000
PRKAG2	chr7	151253210	151574210	-	0.436671412	1.0000000000000000000000
GALNTL5	chr7	151653464	151717019	+	NA	NA
GALNT11	chr7	151722759	151819425	+	0.121682642	1.0000000000000000000000
MLL3	chr7	151832010	152133090	-	0.168577821	1.0000000000000000000000
AC005631.1	chr7	152136306	152136393	+	NA	NA
REEP4	chr8	21995533	21999464	-	0.264905298	1.0000000000000000000000
LGI3	chr8	22004338	22014597	-	NA	NA
SFTPC	chr8	22014426	22021992	+	NA	NA
BMP1	chr8	22022249	22069839	+	-0.164807926	1.0000000000000000000000
PHYHIP	chr8	22077222	22089854	-	NA	NA
MIR320A	chr8	22102475	22102556	-	NA	NA
PPP3CC	chr8	22298332	22398652	+	-0.436673359	0.8880747703567900552812
AC037459.4	chr8	22446787	22459597	+	NA	NA
SLC2A8	chr9	130159421	130170703	+	-0.652248546	0.1104422189665794223901
ZNF79	chr9	130186661	130207651	+	-0.077761527	1.0000000000000000000000
MIR4674	chr9	139440625	139440711	-	NA	NA
EGFL7	chr9	139553308	139567130	+	0.704679873	0.9597477719035107934786
MIR126	chr9	139565054	139565138	+	NA	NA
AGPAT2	chr9	139567595	139581875	-	0.884706579	0.0582427700214873042550
AL590226.1	chr9	139588588	139588714	+	NA	NA
FAM69B	chr9	139607022	139618502	+	-0.246394745	1.0000000000000000000000
HOGA1	chr10	99344080	99372559	+	NA	NA
C10orf62	chr10	99349450	99350690	+	NA	NA
MORN4	chr10	99374310	99393852	-	-0.434383372	1.0000000000000000000000
AVPI1	chr10	99437181	99447080	-	-0.238446684	1.0000000000000000000000
MARVELD1	chr10	99472930	99484694	+	0.370829758	1.0000000000000000000000
ZFYVE27	chr10	99496878	99520663	+	0.191720770	1.0000000000000000000000
IFITM2	chr11	307631	315272	+	0.681323468	0.5440785159234585721677
IFITM1	chr11	313506	315272	+	1.735050619	0.0000000338993202743423
RP11-326C3.11	chr11	318640	319615	+	1.091592632	0.0396656827771405609551
IFITM3	chr11	319669	321340	-	3.027175126	0.0000000029621597058415
RP11-326C3.12	chr11	327171	330122	+	2.105724530	0.0000914971116299353521
B4GALNT4	chr11	369796	382116	+	0.486609164	1.0000000000000000000000
WEE1	chr11	9595228	9615004	+	-0.548877600	0.8171092446012472310102
SWAP70	chr11	9685624	9774538	+	-0.464098076	1.0000000000000000000000
RP11-540A21.2	chr11	9776317	9781080	-	NA	NA
SBF2-AS1	chr11	9779839	9832866	+	0.016290972	1.0000000000000000000000
RNU7-28P	chr11	9865362	9865423	-	NA	NA
RNASEH2C	chr11	65482367	65488418	-	0.248454412	1.0000000000000000000000
RP11-770G2.2	chr11	65513200	65539056	+	1.542917177	0.0006264327776762867658
AP5B1	chr11	65543364	65548273	-	1.478857509	0.0000105426129849505575
OVOL1	chr11	65554493	65564690	+	1.218476233	1.0000000000000000000000
RP11-867G23.3	chr11	66037303	66045996	-	0.401293518	1.0000000000000000000000
CNIH2	chr11	66045661	66052772	+	0.569756340	1.0000000000000000000000
YIF1A	chr11	66052051	66056641	-	0.025861722	1.0000000000000000000000
TMEM151A	chr11	66059341	66064135	+	NA	NA
CD248	chr11	66081958	66084515	-	1.357719411	0.1418243360841356104363
RIN1	chr11	66097713	66104311	-	0.598293003	1.0000000000000000000000
BRMS1	chr11	66104804	66112596	-	0.310543136	1.0000000000000000000000
B3GNT1	chr11	66112843	66115163	-	-0.341106332	1.0000000000000000000000
RP11-867G23.8	chr11	66115421	66132275	+	-0.467744489	1.0000000000000000000000
SLC29A2	chr11	66129992	66139685	-	-0.704790158	0.1303700296794419177804
RP11-867G23.10	chr11	66176629	66184608	+	NA	NA
NPAS4	chr11	66188475	66194178	+	NA	NA
PHLDB1	chr11	118477155	118528741	+	-0.580910262	1.0000000000000000000000
TREH	chr11	118528026	118550399	-	NA	NA
DDX6	chr11	118620034	118661858	-	-0.291460087	1.0000000000000000000000
CXCR5	chr11	118754475	118768508	+	-1.356547821	0.0137654835998421900406
BCL9L	chr11	118764584	118796317	-	-0.380989722	1.0000000000000000000000
UPK2	chr11	118795873	118829269	+	NA	NA
FOXR1	chr11	118842417	118852001	+	NA	NA
RP11-110I1.12	chr11	118865534	118868714	-	-0.278276922	1.0000000000000000000000
CCDC84	chr11	118868852	118886501	+	-0.210953911	1.0000000000000000000000
RPS25	chr11	118886422	118889401	-	0.376396309	1.0000000000000000000000
TRAPPC4	chr11	118889142	118896164	+	-0.015673589	1.0000000000000000000000
HYOU1	chr11	118914900	118927913	-	-0.177133965	1.0000000000000000000000
HMBS	chr11	118955576	118964259	+	0.582328222	0.1731960322231991533659
H2AFX	chr11	118964564	118966177	-	0.389681319	1.0000000000000000000000
DPAGT1	chr11	118967213	118979041	-	-0.271145408	1.0000000000000000000000
C2CD2L	chr11	118972908	118989252	+	0.228891933	1.0000000000000000000000
HINFP	chr11	118992297	119006752	+	-0.064110008	1.0000000000000000000000
ABCG4	chr11	119019722	119033360	+	0.015107554	1.0000000000000000000000
CD69	chr12	9905082	9913497	-	0.370721541	1.0000000000000000000000
KLRF1	chr12	9980077	9997606	+	-0.745076531	1.0000000000000000000000
CLEC2B	chr12	10005583	10022735	-	1.033764761	0.1864738586235863415652
KLRF2	chr12	10034088	10048432	+	NA	NA
ESPL1	chr12	53662083	53687427	+	1.626300855	0.0000068277713054849514
PFDN5	chr12	53689075	53693234	+	0.547575257	1.0000000000000000000000
C12orf10	chr12	53693470	53700961	+	-0.149239055	1.0000000000000000000000
AAAS	chr12	53701240	53718648	-	-0.141377774	1.0000000000000000000000
SP7	chr12	53720362	53739099	-	-0.342549601	1.0000000000000000000000
SP1	chr12	53773960	53810230	+	0.471885361	1.0000000000000000000000
AMHR2	chr12	53817639	53825318	+	NA	NA
PAN2	chr12	56710007	56727837	-	-0.532104590	0.2915128734842996061083
IL23A	chr12	56732663	56734193	+	0.291395947	1.0000000000000000000000
STAT2	chr12	56735381	56753939	-	1.497987476	0.0000378945603034709649
RNU7-40P	chr12	56746171	56746234	-	1.511641976	0.0027091087806469099641
APOF	chr12	56754353	56756607	-	NA	NA
TIMELESS	chr12	56810903	56843187	-	-0.219015995	1.0000000000000000000000
PIP4K2C	chr12	57984957	57997198	+	0.077217433	1.0000000000000000000000
DTX3	chr12	57998405	58003587	+	-0.417164243	1.0000000000000000000000
ARHGEF25	chr12	58003963	58013162	+	-0.635460634	1.0000000000000000000000
SLC26A10	chr12	58013310	58019934	+	NA	NA
B4GALNT1	chr12	58017193	58027138	-	NA	NA
RP3-462E2.3	chr12	112250597	112251224	+	0.885487094	1.0000000000000000000000
MAPKAPK5-AS1	chr12	112277571	112280706	-	-0.090763046	1.0000000000000000000000
MAPKAPK5	chr12	112279782	112334343	+	-0.029729269	1.0000000000000000000000
TMEM116	chr12	112369102	112450935	-	-0.495699743	0.7400483026791796481447
ERP29	chr12	112451120	112461255	+	0.174629034	1.0000000000000000000000
NAA25	chr12	112464500	112546826	-	-0.132208528	1.0000000000000000000000
MIR3657	chr12	112475403	112475519	-	NA	NA
TRAFD1	chr12	112563305	112591407	+	1.088450152	0.0016009868413429620849
HECTD4	chr12	112597992	112819896	-	-0.232051653	1.0000000000000000000000
RPL6	chr12	112842994	112856642	-	0.225023352	1.0000000000000000000000
PTPN11	chr12	112856155	112947717	+	-0.043057690	1.0000000000000000000000
RPH3A	chr12	113008184	113336686	+	1.837113989	0.0400424581873123006104
OAS1	chr12	113344582	113369990	+	3.093682468	0.0000000006059609075982
OAS3	chr12	113376157	113411054	+	3.705728882	0.0000000000284513132279
OAS2	chr12	113416200	113449528	+	2.676380169	0.0000001088861294117717
DTX1	chr12	113494514	113535833	+	-0.498377611	1.0000000000000000000000
RASAL1	chr12	113536624	113574044	-	-0.177921910	1.0000000000000000000000
AE000659.1	chr14	22248785	22248866	+	NA	NA
AE000660.1	chr14	22610887	22610964	+	NA	NA
TRAV41	chr14	22788620	22789123	+	-0.749752102	0.4593484238593940616191
TRDV2	chr14	22891362	22892033	+	-2.877014008	0.0000001880297456514781
TRDD2	chr14	22907999	22908007	+	NA	NA
TRDD3	chr14	22918105	22918117	+	NA	NA
TRDJ1	chr14	22919081	22919131	+	NA	NA
TRDJ4	chr14	22924241	22924288	+	-0.770729231	1.0000000000000000000000
TRDJ2	chr14	22925681	22925734	+	-0.576312939	1.0000000000000000000000
TRDJ3	chr14	22928090	22928148	+	NA	NA
TRDC	chr14	22931924	22934779	+	-1.090431020	0.0299185285818674324976
TRAJ9	chr14	23004502	23004562	+	-0.296412181	1.0000000000000000000000
TRAJ8	chr14	23005092	23005151	+	-0.854000030	0.9413551743040025066023
TRAJ7	chr14	23006567	23006625	+	-0.305010215	1.0000000000000000000000
TRAJ6	chr14	23008016	23008077	+	-0.705449888	0.3823889483202254635508
TRAJ5	chr14	23009190	23009249	+	-0.472410997	1.0000000000000000000000
TRAJ4	chr14	23011142	23011204	+	-0.286142934	1.0000000000000000000000
TRAJ3	chr14	23012122	23012183	+	-0.617328908	1.0000000000000000000000
TRAJ2	chr14	23013015	23013080	+	-0.407850706	1.0000000000000000000000
TRAJ1	chr14	23013981	23014042	+	NA	NA
TRAC	chr14	23016447	23021083	+	-0.645698857	0.0188530455763572350747
AE000662.92	chr14	23025534	23027939	+	-0.242352072	1.0000000000000000000000
DAD1	chr14	23033805	23058175	-	0.317563805	1.0000000000000000000000
AL160314.1	chr14	23064715	23067855	-	0.875543992	1.0000000000000000000000
ABHD4	chr14	23067146	23081265	+	0.027069831	1.0000000000000000000000
OR6J1	chr14	23102673	23103716	-	NA	NA
DHRS2	chr14	24099324	24114848	+	NA	NA
DHRS4	chr14	24422795	24438488	+	0.400450115	1.0000000000000000000000
DHRS4L2	chr14	24439148	24475617	+	0.377797068	1.0000000000000000000000
LRRC16B	chr14	24521206	24538937	+	-0.180881510	1.0000000000000000000000
L2HGDH	chr14	50704281	50779266	-	-0.317086687	1.0000000000000000000000
MIR4504	chr14	50766573	50766664	-	NA	NA
ATP5S	chr14	50779044	50802276	+	-0.054839023	1.0000000000000000000000
RP11-247L20.4	chr14	50793244	50794627	-	-0.137528027	1.0000000000000000000000
CDKL1	chr14	50796310	50883179	-	-0.209531485	1.0000000000000000000000
RP11-247L20.3	chr14	50863731	50865063	+	NA	NA
RP11-406H23.2	chr14	50915525	50923460	+	NA	NA
RP11-406H23.3	chr14	50958330	50959289	+	-0.220222944	1.0000000000000000000000
NUMB	chr14	73741815	73930348	-	0.443690415	1.0000000000000000000000
RP1-240K6.3	chr14	73929129	73943880	+	0.612872342	1.0000000000000000000000
HEATR4	chr14	73945189	74025651	-	-0.048995964	1.0000000000000000000000
ACOT1	chr14	74003818	74010498	+	NA	NA
ACOT2	chr14	74034324	74042357	+	-0.086801886	1.0000000000000000000000
ACOT4	chr14	74058410	74063200	+	-0.572921516	1.0000000000000000000000
ACOT6	chr14	74077649	74086592	+	NA	NA
DNAL1	chr14	74111578	74165604	+	-0.369851711	1.0000000000000000000000
PNMA1	chr14	74178494	74181128	-	-0.595984278	0.3151539045292512941643
ELMSAN1	chr14	74181825	74256988	-	-0.143090470	1.0000000000000000000000
MIR4505	chr14	74225450	74225522	+	NA	NA
RP5-1021I20.2	chr14	74289262	74296838	-	NA	NA
NDUFB1	chr14	92582466	92588261	-	0.428140965	0.6949016987825338276252
CPSF2	chr14	92588281	92630755	+	0.162152372	1.0000000000000000000000
RP11-472N19.3	chr14	92719837	92730000	-	NA	NA
SLC24A4	chr14	92788925	92962596	+	0.360597394	1.0000000000000000000000
RIN3	chr14	92980118	93155339	+	0.561879757	1.0000000000000000000000
LGMN	chr14	93170152	93215047	-	-0.033672275	1.0000000000000000000000
GOLGA5	chr14	93260576	93306308	+	-0.033394974	1.0000000000000000000000
RP11-862G15.1	chr14	93352697	93359851	+	NA	NA
RP11-862G15.2	chr14	93372042	93373827	-	0.583261320	1.0000000000000000000000
CHGA	chr14	93389425	93401638	+	1.035568761	0.2063261507413654827214
