gene	chromosome	start	end	strand	log2FC	FDR
VWA3B	chr2	98703579	98929762	+	NA	NA
CNGA3	chr2	98962618	99015064	+	NA	NA
INPP4A	chr2	99061317	99207496	+	-0.0532927085	1.000000000000000000000000
ORMDL1	chr2	190635049	190649097	-	-0.0659307447	1.000000000000000000000000
AC013468.1	chr2	190642909	190643157	-	NA	NA
PMS1	chr2	190649107	190742355	+	-0.1826129282	1.000000000000000000000000
C2orf88	chr2	190744335	191068210	+	0.3774393772	1.000000000000000000000000
AC008122.1	chr2	190749490	190749579	+	NA	NA
MSTN	chr2	190920610	190927455	-	NA	NA
AC022382.1	chr3	9862220	9870693	-	NA	NA
RPUSD3	chr3	9879533	9886286	-	-0.0639590163	1.000000000000000000000000
CIDEC	chr3	9908398	9921938	-	NA	NA
SPEF2	chr5	35617946	35814713	+	-0.2856969515	1.000000000000000000000000
IL7R	chr5	35852797	35879705	+	-0.6243713069	0.633597911458751883451157
UGT3A1	chr5	35951112	36001130	-	NA	NA
UGT3A2	chr5	36035119	36071460	-	NA	NA
LMBRD2	chr5	36098514	36152063	-	0.2024316578	1.000000000000000000000000
MIR580	chr5	36147994	36148090	-	NA	NA
SKP2	chr5	36152091	36184421	+	-0.0262556343	1.000000000000000000000000
GPRIN1	chr5	176022803	176037134	-	0.1765566515	1.000000000000000000000000
SNCB	chr5	176047085	176057530	-	NA	NA
EIF4E1B	chr5	176057683	176073642	+	NA	NA
TSPAN17	chr5	176074388	176086058	+	-0.0285243062	1.000000000000000000000000
RP11-375B1.3	chr5	176170206	176170803	+	NA	NA
PFN3	chr5	176827108	176827637	-	NA	NA
BX255972.1	chr6	34438567	34438706	-	NA	NA
UHRF1BP1	chr6	34759857	34850915	+	-0.3052599253	1.000000000000000000000000
TAF11	chr6	34845555	34855866	-	0.0069796212	1.000000000000000000000000
ANKS1A	chr6	34857042	35059179	+	0.3990366493	1.000000000000000000000000
TCP11	chr6	35085848	35116387	-	NA	NA
SCUBE3	chr6	35182190	35220856	+	-0.2646665117	1.000000000000000000000000
CYP2W1	chr7	1022835	1029276	+	-0.3533929596	1.000000000000000000000000
C7orf50	chr7	1036623	1177896	-	0.2345984822	1.000000000000000000000000
MIR339	chr7	1062569	1062662	-	-0.1241189721	1.000000000000000000000000
GPR146	chr7	1084212	1098897	+	-0.1696747399	1.000000000000000000000000
GPER	chr7	1121844	1133451	+	1.6644489394	0.029026525825262404489902
ZFAND2A	chr7	1191707	1200395	-	0.2414781463	1.000000000000000000000000
UNCX	chr7	1272543	1276954	+	NA	NA
RNF216	chr7	5659678	5821370	-	-0.0253551835	1.000000000000000000000000
OCM	chr7	5919458	5925993	+	-0.2017207417	1.000000000000000000000000
CCZ1	chr7	5938356	5965605	+	0.0668915542	1.000000000000000000000000
RSPH10B	chr7	5965177	6010314	-	0.1134242424	1.000000000000000000000000
PMS2	chr7	6012870	6048756	-	-0.2946708792	1.000000000000000000000000
AIMP2	chr7	6048876	6063465	+	-0.1999490509	1.000000000000000000000000
EIF2AK1	chr7	6061881	6098861	-	-0.0694472288	1.000000000000000000000000
ANKRD61	chr7	6071007	6076017	+	0.0777907900	1.000000000000000000000000
AC004895.4	chr7	6120734	6132716	+	NA	NA
AC004895.1	chr7	6122736	6122805	+	NA	NA
RP11-611L7.1	chr7	6694495	6696063	+	0.0487205659	1.000000000000000000000000
AC073343.1	chr7	6713376	6715991	+	0.3429876849	1.000000000000000000000000
ZNF12	chr7	6728064	6746554	-	0.1559770442	1.000000000000000000000000
RSPH10B2	chr7	6793740	6838996	+	NA	NA
CCZ1B	chr7	6836440	6866401	-	0.1483471224	1.000000000000000000000000
AEBP1	chr7	44143960	44154161	+	-0.7733894444	0.648730839232508849079295
POLD2	chr7	44154286	44163957	-	-0.4916947881	0.898578559492123729590674
MYL7	chr7	44178463	44180931	-	NA	NA
GCK	chr7	44183872	44237769	-	0.0410767877	1.000000000000000000000000
YKT6	chr7	44240567	44253893	+	0.0660962095	1.000000000000000000000000
UPK3B	chr7	76139745	76648340	+	0.6980027908	0.980576624029729781995002
POMZP3	chr7	76239303	76256578	-	0.0463445823	1.000000000000000000000000
AC005522.7	chr7	76601996	76606278	-	NA	NA
PVRIG	chr7	99815864	99819113	+	0.4381221095	1.000000000000000000000000
AC005071.1	chr7	99817650	99817743	-	NA	NA
SPDYE3	chr7	99905325	99919819	+	-0.1394407074	1.000000000000000000000000
PILRB	chr7	99933702	99965454	+	-0.2250958385	1.000000000000000000000000
PILRA	chr7	99965153	99997719	+	0.4835277249	1.000000000000000000000000
AC005071.2	chr7	99998731	100001824	+	NA	NA
EGFL7	chr9	139553308	139567130	+	0.4819944196	1.000000000000000000000000
MIR126	chr9	139565054	139565138	+	NA	NA
AGPAT2	chr9	139567595	139581875	-	0.6818666060	0.294230568266974912283729
AL590226.1	chr9	139588588	139588714	+	NA	NA
FAM69B	chr9	139607022	139618502	+	-0.3871595412	1.000000000000000000000000
LCN6	chr9	139632619	139642980	-	-0.4904145419	1.000000000000000000000000
LCN10	chr9	139632619	139637808	-	-1.0550590132	0.849653805745235302104845
LCN8	chr9	139648838	139652678	-	-2.0156578752	1.000000000000000000000000
LCN15	chr9	139654086	139660707	-	-0.5808920161	1.000000000000000000000000
TMEM141	chr9	139685807	139695010	+	0.2757199413	1.000000000000000000000000
KIAA1984	chr9	139690802	139704494	+	-0.1240387197	1.000000000000000000000000
YIF1A	chr11	66052051	66056641	-	-0.1446818249	1.000000000000000000000000
TMEM151A	chr11	66059341	66064135	+	NA	NA
CD248	chr11	66081958	66084515	-	0.8613886179	1.000000000000000000000000
RIN1	chr11	66097713	66104311	-	0.3966160501	1.000000000000000000000000
BRMS1	chr11	66104804	66112596	-	0.1224111444	1.000000000000000000000000
B3GNT1	chr11	66112843	66115163	-	-0.3475715616	1.000000000000000000000000
RP11-867G23.8	chr11	66115421	66132275	+	-0.4628514662	1.000000000000000000000000
SLC29A2	chr11	66129992	66139685	-	-0.6672317455	0.191367086058884527943746
RP11-867G23.10	chr11	66176629	66184608	+	NA	NA
NPAS4	chr11	66188475	66194178	+	NA	NA
FOLR2	chr11	71927645	71932994	+	0.1899971568	1.000000000000000000000000
INPPL1	chr11	71934745	71950149	+	0.2410051828	1.000000000000000000000000
PHOX2A	chr11	71950121	71956708	-	NA	NA
CLPB	chr11	72003469	72145692	-	0.2912397331	1.000000000000000000000000
RP11-169D4.1	chr11	72281704	72284273	+	NA	NA
TTC36	chr11	118398187	118401912	+	-0.6365458416	1.000000000000000000000000
TMEM25	chr11	118401756	118417995	+	-0.3970529286	1.000000000000000000000000
IFT46	chr11	118415243	118443685	-	-0.1959148287	1.000000000000000000000000
ARCN1	chr11	118443105	118473730	+	-0.1332196214	1.000000000000000000000000
PHLDB1	chr11	118477155	118528741	+	-0.5581599098	1.000000000000000000000000
TREH	chr11	118528026	118550399	-	NA	NA
DDX6	chr11	118620034	118661858	-	-0.1993694464	1.000000000000000000000000
CXCR5	chr11	118754475	118768508	+	-1.2934092986	0.037276173836664150407216
BCL9L	chr11	118764584	118796317	-	-0.3013545865	1.000000000000000000000000
UPK2	chr11	118795873	118829269	+	NA	NA
FOXR1	chr11	118842417	118852001	+	NA	NA
RP11-110I1.12	chr11	118865534	118868714	-	-0.3282973298	1.000000000000000000000000
CCDC84	chr11	118868852	118886501	+	-0.2608880720	1.000000000000000000000000
RPS25	chr11	118886422	118889401	-	0.0983871175	1.000000000000000000000000
TRAPPC4	chr11	118889142	118896164	+	-0.1270374746	1.000000000000000000000000
KLRF1	chr12	9980077	9997606	+	-0.6839452765	1.000000000000000000000000
CLEC2B	chr12	10005583	10022735	-	0.8147442849	0.748620637447791281715581
KLRF2	chr12	10034088	10048432	+	NA	NA
MIR148B	chr12	54731000	54731098	+	-0.4856500208	1.000000000000000000000000
RP11-753H16.3	chr12	54747445	54891472	+	-0.1280922003	1.000000000000000000000000
GPR84	chr12	54756229	54758271	-	2.3065674475	0.000000003143158182468330
AC002395.1	chr12	111925282	111925382	-	NA	NA
RP3-462E2.3	chr12	112250597	112251224	+	0.7413673653	1.000000000000000000000000
MAPKAPK5-AS1	chr12	112277571	112280706	-	-0.1495237483	1.000000000000000000000000
MAPKAPK5	chr12	112279782	112334343	+	-0.0534173951	1.000000000000000000000000
TMEM116	chr12	112369102	112450935	-	-0.4240868865	0.961773152188434288234475
ERP29	chr12	112451120	112461255	+	-0.0292538356	1.000000000000000000000000
MIR3657	chr12	112475403	112475519	-	NA	NA
TRAV5	chr14	22217462	22217989	+	-0.4226224782	1.000000000000000000000000
TRAV6	chr14	22236729	22237320	+	-0.9016500118	0.020675995382357370555582
AE000659.1	chr14	22248785	22248866	+	NA	NA
TRAV7	chr14	22251210	22251720	+	NA	NA
TRAV8-1	chr14	22265459	22266058	+	-0.6847983595	0.367742548492836829332475
TRAV9-1	chr14	22279674	22280149	+	NA	NA
AE000660.1	chr14	22610887	22610964	+	NA	NA
TRAV40	chr14	22782922	22783351	+	0.3965375666	1.000000000000000000000000
TRAV41	chr14	22788620	22789123	+	-0.6919304824	0.483586145392118527119862
TRDV2	chr14	22891362	22892033	+	-3.3077222541	0.000000000701278259038322
TRDD2	chr14	22907999	22908007	+	NA	NA
TRDD3	chr14	22918105	22918117	+	NA	NA
TRDJ1	chr14	22919081	22919131	+	NA	NA
TRDJ4	chr14	22924241	22924288	+	0.0030963209	1.000000000000000000000000
TRDJ2	chr14	22925681	22925734	+	-0.5482092844	1.000000000000000000000000
TRDJ3	chr14	22928090	22928148	+	NA	NA
TRDC	chr14	22931924	22934779	+	-1.0780972187	0.016962697193198025824579
TRDV3	chr14	22938033	22938690	-	-0.8659243811	1.000000000000000000000000
TRAJ1	chr14	23013981	23014042	+	NA	NA
TRAC	chr14	23016447	23021083	+	-0.6505132694	0.026212638642914606879053
AE000662.92	chr14	23025534	23027939	+	-0.4831760171	1.000000000000000000000000
DAD1	chr14	23033805	23058175	-	0.0409132898	1.000000000000000000000000
OR6J1	chr14	23102673	23103716	-	NA	NA
NEMF	chr14	50249997	50319921	-	0.1177953731	1.000000000000000000000000
AL627171.1	chr14	50300810	50311552	-	NA	NA
RN7SL2	chr14	50329271	50329567	-	0.4564359593	1.000000000000000000000000
ARF6	chr14	50359810	50361490	+	-0.0416373712	1.000000000000000000000000
METTL21D	chr14	50575350	50583318	-	0.5250117996	1.000000000000000000000000
SOS2	chr14	50583847	50698276	-	0.3478479031	1.000000000000000000000000
L2HGDH	chr14	50704281	50779266	-	-0.2397731340	1.000000000000000000000000
MIR4504	chr14	50766573	50766664	-	NA	NA
ATP5S	chr14	50779044	50802276	+	-0.1764382965	1.000000000000000000000000
RP11-247L20.4	chr14	50793244	50794627	-	-0.2768100726	1.000000000000000000000000
CDKL1	chr14	50796310	50883179	-	-0.2309176843	1.000000000000000000000000
RP11-247L20.3	chr14	50863731	50865063	+	NA	NA
MAP4K5	chr14	50885219	51027844	-	-0.2987401564	1.000000000000000000000000
RP11-406H23.2	chr14	50915525	50923460	+	NA	NA
RP11-406H23.3	chr14	50958330	50959289	+	0.2201462600	1.000000000000000000000000
ATL1	chr14	50999227	51099786	+	-0.1129509770	1.000000000000000000000000
NUMB	chr14	73741815	73930348	-	0.5241270379	1.000000000000000000000000
RP1-240K6.3	chr14	73929129	73943880	+	0.6194427448	1.000000000000000000000000
HEATR4	chr14	73945189	74025651	-	-0.1532132988	1.000000000000000000000000
ACOT1	chr14	74003818	74010498	+	NA	NA
ACOT2	chr14	74034324	74042357	+	-0.0089466220	1.000000000000000000000000
ACOT4	chr14	74058410	74063200	+	-0.4274400982	1.000000000000000000000000
ACOT6	chr14	74077649	74086592	+	NA	NA
DNAL1	chr14	74111578	74165604	+	-0.2745497044	1.000000000000000000000000
PNMA1	chr14	74178494	74181128	-	-0.3505112989	1.000000000000000000000000
ELMSAN1	chr14	74181825	74256988	-	-0.0380660809	1.000000000000000000000000
MIR4505	chr14	74225450	74225522	+	NA	NA
RP5-1021I20.2	chr14	74289262	74296838	-	NA	NA
FBXL22	chr15	63889552	63894627	+	-0.2673018815	1.000000000000000000000000
HERC1	chr15	63900817	64126141	-	-0.2054667887	1.000000000000000000000000
MIR422A	chr15	64163129	64163218	-	NA	NA
DAPK2	chr15	64199235	64364232	-	0.4518055893	1.000000000000000000000000
FAM96A	chr15	64364758	64386217	-	0.3351057853	1.000000000000000000000000
SNX1	chr15	64386322	64438289	+	0.1284413751	1.000000000000000000000000
SNX22	chr15	64443914	64449680	+	-0.8614013900	0.208316105112176824798453
MTFMT	chr15	65294845	65321977	-	0.2901550532	1.000000000000000000000000
SLC51B	chr15	65337708	65345734	+	NA	NA
RASL12	chr15	65345679	65369028	-	NA	NA
KBTBD13	chr15	65369154	65372276	+	NA	NA
RP11-1007O24.3	chr15	72700119	72767509	-	-0.1246130849	1.000000000000000000000000
RP11-1007O24.2	chr15	72757469	72758603	-	0.2270714727	1.000000000000000000000000
ARIH1	chr15	72766667	72879692	+	-0.0234226400	1.000000000000000000000000
RP11-1006G14.2	chr15	72900828	72929260	-	NA	NA
RP11-1006G14.1	chr15	72908151	72910591	+	-0.0018986342	1.000000000000000000000000
HN1L	chr16	1728257	1752281	+	-0.3453340035	1.000000000000000000000000
MAPK8IP3	chr16	1756184	1820318	+	0.0821677549	1.000000000000000000000000
MIR3177	chr16	1784986	1785067	+	-0.4395298298	1.000000000000000000000000
NME3	chr16	1820287	1821731	-	-0.1652294756	1.000000000000000000000000
MRPS34	chr16	1821891	1823156	-	-0.0745301419	1.000000000000000000000000
EME2	chr16	1823208	1831709	+	-0.1199799548	1.000000000000000000000000
SPSB3	chr16	1826713	1832821	-	0.2296754961	1.000000000000000000000000
NUBP2	chr16	1832902	1839192	+	-0.1611243778	1.000000000000000000000000
IGFALS	chr16	1840414	1844972	-	-0.4700394411	1.000000000000000000000000
HAGH	chr16	1845621	1877195	-	0.1575241535	1.000000000000000000000000
FAHD1	chr16	1876968	1890208	+	0.1572827441	1.000000000000000000000000
MEIOB	chr16	1883984	1934295	-	0.3889464266	1.000000000000000000000000
HS3ST6	chr16	1961464	1968441	-	NA	NA
MSRB1	chr16	1988211	1993327	-	0.7313353513	0.225410305081442441377249
RP11-615I2.7	chr16	68595964	68601032	+	-0.0009331595	1.000000000000000000000000
CDH3	chr16	68670092	68756519	+	-1.0454377514	0.756541357427062188811817
CDH1	chr16	68771128	68869445	+	-0.5062127417	1.000000000000000000000000
RP11-48B14.2	chr17	3566357	3599488	-	-0.4844204398	1.000000000000000000000000
P2RX5	chr17	3575493	3599698	-	-1.0928469319	0.023988594198276643604251
ITGAE	chr17	3617922	3704537	-	0.0354894816	1.000000000000000000000000
GSG2	chr17	3627211	3630067	+	0.1377390237	1.000000000000000000000000
TNK1	chr17	7283853	7293093	+	-0.3563506954	1.000000000000000000000000
PLSCR3	chr17	7293046	7307416	-	-0.1046447362	1.000000000000000000000000
C17orf61	chr17	7306294	7307456	-	0.1640368005	1.000000000000000000000000
NLGN2	chr17	7308193	7323179	+	-0.1124634423	1.000000000000000000000000
C17orf74	chr17	7328934	7330887	+	NA	NA
SEBOX	chr17	26691290	26697373	-	NA	NA
VTN	chr17	26694297	26700110	-	0.4783955490	1.000000000000000000000000
SLC46A1	chr17	26721661	26734215	-	-0.1174939574	1.000000000000000000000000
SLC13A2	chr17	26800311	26824799	+	NA	NA
FOXN1	chr17	26833261	26865914	+	NA	NA
MIR4728	chr17	37882748	37882814	+	NA	NA
MIEN1	chr17	37884749	37887040	-	0.1254055096	1.000000000000000000000000
GRB7	chr17	37894180	37903544	+	NA	NA
RP11-94L15.2	chr17	37913974	37920089	-	-0.6790669147	0.031180505388962550389342
IKZF3	chr17	37921198	38020441	-	-0.6031083157	0.771510696592371814084288
ZPBP2	chr17	38024417	38034149	+	NA	NA
GSDMB	chr17	38060848	38077313	-	0.0514616805	1.000000000000000000000000
ORMDL3	chr17	38077294	38083854	-	0.0491794167	1.000000000000000000000000
RP11-387H17.4	chr17	38083995	38095854	+	0.7194585911	1.000000000000000000000000
LRRC3C	chr17	38097727	38101000	+	NA	NA
UBTF	chr17	42282401	42298994	-	-0.2105415920	1.000000000000000000000000
SLC4A1	chr17	42325753	42345509	-	0.7423214589	1.000000000000000000000000
AC003043.1	chr17	42335297	42355825	+	NA	NA
AC003102.3	chr17	42376942	42392683	-	0.4925002337	1.000000000000000000000000
RUNDC3A	chr17	42385781	42396039	+	0.4412738367	1.000000000000000000000000
SLC25A39	chr17	42396993	42402238	-	0.3036602963	1.000000000000000000000000
RP5-1067M6.3	chr17	42405981	42408830	+	NA	NA
SCRN2	chr17	45915058	45918699	-	-0.4199026947	1.000000000000000000000000
SP6	chr17	45922279	45933240	-	0.2338317003	1.000000000000000000000000
RP11-6N17.1	chr17	45940708	45942556	+	NA	NA
RP11-6N17.2	chr17	45956838	45959764	-	-0.7828999107	1.000000000000000000000000
SP2	chr17	45973516	46006323	+	0.0749004251	1.000000000000000000000000
MIR152	chr17	46114527	46114613	-	NA	NA
RNF213	chr17	78234665	78372586	+	0.8930965828	0.117500684745358824345729
ENDOV	chr17	78388965	78411886	+	-0.1442656492	1.000000000000000000000000
MIR4730	chr17	78393218	78393293	+	-0.2587974129	1.000000000000000000000000
CTD-2526A2.2	chr17	78427535	78428529	-	NA	NA
RP11-1055B8.3	chr17	79349801	79359160	-	NA	NA
RP11-1055B8.6	chr17	79369275	79376779	+	0.8177123224	0.757366677168740620729182
BAHCC1	chr17	79373540	79433357	+	0.7513166390	0.510759204137245403920531
MIR4740	chr17	79374516	79374578	-	NA	NA
MIR3186	chr17	79418130	79418214	-	NA	NA
PALM	chr19	708953	748329	+	-0.7695874706	1.000000000000000000000000
C19orf21	chr19	751126	764318	+	NA	NA
AC006273.5	chr19	782796	785080	+	NA	NA
AC006273.7	chr19	786365	786965	+	0.5375719476	1.000000000000000000000000
PTBP1	chr19	797075	812327	+	-0.2214757257	1.000000000000000000000000
LPPR3	chr19	812518	821978	-	0.5075823076	1.000000000000000000000000
AZU1	chr19	825097	832017	+	4.9174166520	0.000000000000000042726413
PRTN3	chr19	840974	848180	+	5.5179079030	0.000000000000000042726413
ELANE	chr19	851014	856242	+	5.4192704079	0.000000000000000005859744
MIR4747	chr19	4932699	4932752	+	NA	NA
KDM4B	chr19	4969125	5153606	+	0.3271583914	1.000000000000000000000000
PTPRS	chr19	5158506	5340814	-	-0.9900533635	0.004091815207641703693031
ZNRF4	chr19	5455426	5456867	+	NA	NA
PLAC2	chr19	5558178	5568045	-	0.0444672288	1.000000000000000000000000
LDLR	chr19	11200038	11244492	+	-0.0423235793	1.000000000000000000000000
SPC24	chr19	11242196	11266484	-	0.6204359913	1.000000000000000000000000
KANK2	chr19	11274943	11308467	-	0.4335786080	1.000000000000000000000000
CTD-2521M24.5	chr19	17502238	17503093	-	1.8463834603	0.016011048968748230886261
BST2	chr19	17513748	17516457	-	0.8285522541	0.225971392393245290586279
CTD-2521M24.9	chr19	17516503	17529713	+	0.8785801840	0.053089083978962392507128
FAM125A	chr19	17516531	17544533	+	0.2563596394	1.000000000000000000000000
TMEM221	chr19	17546318	17559376	-	-0.0366420696	1.000000000000000000000000
CTD-2521M24.11	chr19	17563020	17563778	-	NA	NA
NXNL1	chr19	17566234	17571763	-	NA	NA
AC010319.1	chr19	17568066	17568166	+	NA	NA
SLC27A1	chr19	17579578	17616977	+	-0.0388673829	1.000000000000000000000000
PGLS	chr19	17622438	17632097	+	0.2453800258	1.000000000000000000000000
FAM129C	chr19	17634110	17664648	+	-1.6312775918	0.004583496734430212229960
GLT25D1	chr19	17666403	17693971	+	0.0849143181	1.000000000000000000000000
UNC13A	chr19	17712137	17799401	-	NA	NA
GDF15	chr19	18485541	18499987	+	1.2311333846	0.064292527231547755284247
MIR3189	chr19	18497372	18497444	+	0.5962753498	1.000000000000000000000000
LRRC25	chr19	18501954	18508427	-	0.4121023782	1.000000000000000000000000
AC008397.1	chr19	18520504	18520592	-	NA	NA
AC007773.3	chr19	32895915	32896466	+	NA	NA
CTD-2538C1.3	chr19	33209204	33210501	-	NA	NA
TDRD12	chr19	33210659	33320483	+	0.2630162007	1.000000000000000000000000
SLC7A9	chr19	33321415	33360672	-	NA	NA
CTD-2085J24.4	chr19	33366831	33369327	-	-0.4509957579	1.000000000000000000000000
CEP89	chr19	33369908	33462897	-	-0.2473066503	1.000000000000000000000000
CTC-263F14.5	chr19	33440310	33441930	-	NA	NA
C19orf40	chr19	33463115	33469128	+	0.0421353446	1.000000000000000000000000
RHPN2	chr19	33469499	33555794	-	-0.7722481774	0.883660220477579083642183
CEBPG	chr19	33864236	33873591	+	0.2192337966	1.000000000000000000000000
PEPD	chr19	33877856	34012700	-	0.0500652811	1.000000000000000000000000
CHST8	chr19	34112861	34264413	+	0.6621828257	1.000000000000000000000000
AC010510.2	chr19	34125111	34125593	+	NA	NA
KCTD15	chr19	34286838	34306666	+	-0.1116095581	1.000000000000000000000000
CAPN12	chr19	39220827	39260544	-	-0.5171452713	1.000000000000000000000000
LGALS7B	chr19	39279851	39282389	+	NA	NA
LGALS4	chr19	39292311	39304004	-	-0.5502151623	1.000000000000000000000000
IRGC	chr19	44220162	44224173	+	NA	NA
SMG9	chr19	44235301	44259142	-	-0.2269572459	1.000000000000000000000000
KCNN4	chr19	44270685	44285409	-	-0.8349828822	0.098111529884977788373845
AC115522.3	chr19	44298461	44299810	-	NA	NA
TEAD2	chr19	49843852	49865714	-	-1.0580975551	0.084289269126783819552351
DKKL1	chr19	49865040	49878373	+	NA	NA
CCDC155	chr19	49891475	49921251	+	NA	NA
PTH2	chr19	49925671	49926698	-	NA	NA
CTD-3148I10.1	chr19	49927006	49932075	+	NA	NA
SLC17A7	chr19	49932658	49945617	-	NA	NA
PIH1D1	chr19	49949555	49956754	-	-0.2093810214	1.000000000000000000000000
ALDH16A1	chr19	49956426	49974305	+	-0.3399673957	1.000000000000000000000000
FLT3LG	chr19	49977464	49990894	+	0.0142856826	1.000000000000000000000000
RPL13A	chr19	49990811	49995565	+	-0.1339696529	1.000000000000000000000000
RPS11	chr19	49999622	50002946	+	0.0494345955	1.000000000000000000000000
hsa-mir-150	chr19	50003781	50004614	+	-0.5109148174	1.000000000000000000000000
CTD-2126E3.4	chr19	50578380	50579159	+	NA	NA
RP5-1125A11.1	chr20	32570858	32582163	-	0.0707474058	1.000000000000000000000000
RALY	chr20	32581452	32696114	+	0.1257447862	1.000000000000000000000000
RP5-1125A11.4	chr20	32602775	32605555	-	0.4342140302	1.000000000000000000000000
MIR4755	chr20	32636925	32636996	+	0.1239063846	1.000000000000000000000000
EIF2S2	chr20	32676104	32700138	-	0.0788170287	1.000000000000000000000000
ASIP	chr20	32782375	32857150	+	-0.5340359500	1.000000000000000000000000
AHCY	chr20	32868074	32899608	-	0.0006430504	1.000000000000000000000000
ITCH	chr20	32951041	33099198	+	0.0960224837	1.000000000000000000000000
MIR644A	chr20	33054130	33054223	+	NA	NA
PROCR	chr20	33759876	33765165	+	-0.4065182892	1.000000000000000000000000
RNA5SP483	chr20	33783109	33783226	+	NA	NA
RP4-614O4.12	chr20	33789550	33791091	-	0.3606684424	1.000000000000000000000000
AL121753.1	chr20	33802392	33802492	+	-0.0743565428	1.000000000000000000000000
IFT27	chr22	37154246	37172300	-	-0.0566764258	1.000000000000000000000000
PVALB	chr22	37196728	37215523	-	0.4146076161	1.000000000000000000000000
NCF4	chr22	37257030	37274057	+	0.6193969195	0.586363083695830344943545
CSF2RB	chr22	37309670	37336491	+	0.6994931818	0.635598543970079976617171
TEX33	chr22	37387163	37403882	-	NA	NA
RP1-63G5.7	chr22	37748230	37750879	-	NA	NA
ELFN2	chr22	37764000	37823505	-	-0.8800734235	0.274193453354181382319865
MFNG	chr22	37865101	37882439	-	-0.0911370303	1.000000000000000000000000
KCNJ4	chr22	38822332	38851205	-	NA	NA
KDELR3	chr22	38864067	38879452	+	0.0399577290	1.000000000000000000000000
DDX17	chr22	38879445	38903665	-	0.1654922978	1.000000000000000000000000
CTA-150C2.13	chr22	39317232	39320713	+	NA	NA
APOBEC3H	chr22	39493229	39500072	+	-0.3261157750	1.000000000000000000000000
CBX7	chr22	39516172	39548679	-	-0.0956299018	1.000000000000000000000000
PDGFB	chr22	39619364	39640756	-	-1.0245270786	0.003188193096101349290755
AL031590.1	chr22	39656865	39657063	-	NA	NA
SNORD83A	chr22	39711218	39711312	-	NA	NA
ENTHD1	chr22	40139049	40289868	-	NA	NA
GRAP2	chr22	40297086	40369725	+	-0.2446829611	1.000000000000000000000000
FAM83F	chr22	40390953	40426043	+	-0.1375520684	1.000000000000000000000000
